DateTime,Entries,UniqueIPs
1557262319,9747,9747
1557263731,9751,9751
1557265398,9745,9745
1557267309,9754,9754
1557269437,9750,9750
1557272619,9747,9747
1557274238,9748,9748
1557275848,9752,9752
1557277210,9751,9751
1557280014,9751,9751
1557283484,9747,9747
1557286394,9771,9771
1557287567,9771,9771
1557289634,9778,9778
1557290906,9792,9792
1557292241,9780,9780
1557293481,9791,9791
1557295530,9782,9782
1557296907,9792,9792
1557298188,9790,9790
1557301508,9796,9796
1557303162,9803,9803
1557304609,9815,9815
1557307097,9820,9820
1557309344,9828,9828
1557311193,9817,9817
1557312411,9784,9784
1557315657,9792,9792
1557317624,9794,9794
1557319231,9791,9791
1557321461,9783,9783
1557322964,9752,9752
1557324956,9765,9765
1557326690,9769,9769
1557328276,9767,9767
1557330563,9787,9787
1557332121,9789,9789
1557334561,9764,9764
1557336690,9775,9775
1557338093,9772,9772
1557341787,9744,9744
1557343979,9756,9756
1557345444,9742,9742
1557346597,9740,9740
1557348229,9724,9724
1557349901,9717,9717
1557357415,9710,9710
1557366238,9741,9741
1557370708,9723,9723
1557371909,9694,9694
1557373343,9683,9683
1557374866,9693,9693
1557376161,9704,9704
1557378954,9714,9714
1557380226,9724,9724
1557382423,9740,9740
1557384403,9745,9745
1557385760,9748,9748
1557388794,9732,9732
1557390097,9703,9703
1557391870,9710,9710
1557393851,9701,9701
1557395315,9657,9657
1557397566,9651,9651
1557399421,9620,9620
1557402236,9582,9582
1557403730,9588,9588
1557405513,9595,9595
1557407375,9549,9549
1557409450,9557,9557
1557411353,9530,9530
1557413420,9517,9517
1557415085,9475,9475
1557416222,9488,9488
1557417537,9497,9497
1557419016,9493,9493
1557420233,9423,9423
1557421777,9435,9435
1557425707,9387,9387
1557427955,9393,9393
1557429524,9392,9392
1557432015,9392,9392
1557435603,9411,9411
1557437812,9422,9422
1557439185,9431,9431
1557442316,9426,9426
1557444073,9428,9428
1557447423,9420,9420
1557449043,9414,9414
1557451198,9426,9426
1557452559,9431,9431
1557454209,9414,9414
1557455601,9432,9432
1557460373,9424,9424
1557461657,9416,9416
1557463026,9422,9422
1557464324,9430,9430
1557465890,9419,9419
1557468942,9401,9401
1557470718,9402,9402
1557472061,9407,9407
1557476164,9403,9403
1557477547,9407,9407
1557478740,9415,9415
1557480011,9415,9415
1557481329,9412,9412
1557484116,9416,9416
1557485487,9407,9407
1557487688,9417,9417
1557490627,9421,9421
1557492277,9423,9423
1557494077,9422,9422
1557497197,9403,9403
1557498518,9414,9414
1557499879,9411,9411
1557501767,9410,9410
1557503234,9416,9416
1557505979,9433,9433
1557509771,9432,9432
1557511759,9428,9428
1557513321,9435,9435
1557515049,9436,9436
1557516600,9448,9448
1557519844,9448,9448
1557521472,9451,9451
1557523266,9458,9458
1557525086,9458,9458
1557526418,9470,9470
1557530794,9498,9498
1557533545,9484,9484
1557535555,9484,9484
1557537235,9486,9486
1557540644,9498,9498
1557541940,9499,9499
1557545134,9494,9494
1557546821,9501,9501
1557548213,9501,9501
1557551235,9502,9502
1557556369,9511,9511
1557557516,9487,9487
1557562760,9527,9527
1557565623,9563,9563
1557568384,9561,9561
1557570149,9558,9558
1557572326,9557,9557
1557574032,9564,9564
1557576477,9570,9570
1557582188,9611,9611
1557585976,9630,9630
1557587802,9614,9614
1557589384,9608,9608
1557591229,9613,9613
1557593089,9611,9611
1557597659,9614,9614
1557602176,9619,9619
1557605718,9588,9588
1557607622,9578,9578
1557609717,9581,9581
1557611652,9592,9592
1557614721,9573,9573
1557616237,9566,9566
1557626294,9586,9586
1557628591,9580,9580
1557630305,9568,9568
1557632222,9576,9576
1557635989,9586,9586
1557640582,9592,9592
1557647812,9601,9601
1557649296,9615,9615
1557651633,9620,9620
1557652851,9613,9613
1557654528,9617,9617
1557655872,9603,9603
1557657354,9612,9612
1557659085,9602,9602
1557660419,9607,9607
1557662329,9608,9608
1557664631,9603,9603
1557666806,9591,9591
1557668662,9581,9581
1557671729,9596,9596
1557673785,9593,9593
1557675922,9607,9607
1557677862,9598,9598
1557679074,9600,9600
1557681565,9585,9585
1557687813,9587,9587
1557689387,9590,9590
1557690585,9584,9584
1557691755,9577,9577
1557698617,9567,9567
1557701061,9574,9574
1557707345,9567,9567
1557710986,9563,9563
1557714918,9568,9568
1557716381,9559,9559
1557718574,9563,9563
1557720232,9556,9556
1557722175,9564,9564
1557727198,9545,9545
1557728719,9559,9559
1557730737,9545,9545
1557732015,9545,9545
1557735636,9552,9552
1557738595,9524,9524
1557740180,9527,9527
1557742247,9513,9513
1557743799,9513,9513
1557746065,9502,9502
1557747334,9506,9506
1557748475,9506,9506
1557750202,9495,9495
1557751654,9481,9481
1557753136,9470,9470
1557754604,9476,9476
1557755804,9461,9461
1557757584,9465,9465
1557761510,9454,9454
1557762915,9439,9439
1557764999,9435,9435
1557766583,9435,9435
1557768013,9432,9432
1557772680,9449,9449
1557773999,9441,9441
1557776767,9414,9414
1557778959,9412,9412
1557782528,9410,9410
1557785159,9411,9411
1557787443,9382,9382
1557790268,9375,9375
1557792511,9363,9363
1557794878,9356,9356
1557797042,9351,9351
1557801971,9304,9304
1557803707,9311,9311
1557805058,9313,9313
1557806969,9261,9261
1557808564,9265,9265
1557809899,9271,9271
1557813520,9232,9232
1557814679,9231,9231
1557815896,9233,9233
1557817406,9210,9210
1557820134,9219,9219
1557821286,9216,9216
1557822960,9206,9206
1557824713,9190,9190
1557826255,9193,9193
1557827674,9198,9198
1557828805,9187,9187
1557830205,9191,9191
1557832196,9177,9177
1557833871,9183,9183
1557836077,9173,9173
1557837494,9173,9173
1557840418,9154,9154
1557841792,9142,9142
1557844587,9145,9145
1557846050,9130,9130
1557847540,9128,9128
1557849066,9130,9130
1557850547,9118,9118
1557851813,9114,9114
1557856372,9073,9073
1557857957,9068,9068
1557860871,9078,9078
1557863146,9030,9030
1557867581,9020,9020
1557868965,9026,9026
1557870159,9033,9033
1557873815,9017,9017
1557875485,9022,9022
1557879040,8996,8996
1557884597,8948,8948
1557886407,8946,8946
1557888588,8953,8953
1557892520,8959,8959
1557893961,8968,8968
1557895668,8975,8975
1557897384,8981,8981
1557898997,8963,8963
1557901355,8964,8964
1557904455,8971,8971
1557905880,8972,8972
1557907397,8975,8975
1557909707,8980,8980
1557911070,8974,8974
1557913457,8975,8975
1557916360,8982,8982
1557918373,8976,8976
1557919711,8980,8980
1557920864,8986,8986
1557922087,8995,8995
1557924226,8999,8999
1557927790,9010,9010
1557930147,9020,9020
1557931549,9031,9031
1557936242,9021,9021
1557938669,9027,9027
1557940744,9037,9037
1557942179,9031,9031
1557946587,9054,9054
1557948987,9059,9059
1557950636,9046,9046
1557951750,9049,9049
1557955328,9045,9045
1557957199,9053,9053
1557959871,9058,9058
1557962544,9046,9046
1557966148,9047,9047
1557968191,9039,9039
1557969372,9040,9040
1557974212,9042,9042
1557976615,9032,9032
1557978929,9031,9031
1557980796,9025,9025
1557983779,9027,9027
1557988731,9018,9018
1557990213,9014,9014
1557991843,9017,9017
1557996142,9019,9019
1557997908,9002,9002
1557999849,9000,9000
1558002391,9014,9014
1558006702,9003,9003
1558008611,8998,8998
1558010621,9000,9000
1558011948,9002,9002
1558015820,9003,9003
1558018095,9016,9016
1558019623,9015,9015
1558021150,9013,9013
1558025032,9006,9006
1558027610,9013,9013
1558029728,9019,9019
1558032262,9012,9012
1558034038,9012,9012
1558035372,9015,9015
1558037423,9010,9010
1558039907,9011,9011
1558041813,9010,9010
1558045729,9011,9011
1558051583,9012,9012
1558055883,9018,9018
1558060061,8998,8998
1558069034,8994,8994
1558070468,8991,8991
1558071824,8968,8968
1558074610,8970,8970
1558077031,8972,8972
1558079456,8979,8979
1558080800,8977,8977
1558082503,8974,8974
1558083953,8968,8968
1558085869,8971,8971
1558088889,8958,8958
1558092242,8959,8959
1558093770,8961,8961
1558097178,8926,8926
1558101521,8925,8925
1558102880,8927,8927
1558105271,8936,8936
1558107812,8911,8911
1558109354,8904,8904
1558110519,8907,8907
